koushu-handan 探偵編の台詞　抜粋（通読用）
版 v1411 / serifu.txt から二区画をそのまま切り出したもの（本体は未変更）
  ・serifu.txt 7169〜7574 行 … 探偵編の表（ADV_*）
  ・serifu.txt 7624〜7792 行 … 表に入っていない台詞（実行時に組み立てるもの）
各行の先頭の数字は koushu-handan.html の行番号。切り出しても変えていない。
判定カードの方言表（DIALECT_WORDS）は通読済みのため入れていない。
==============================================================================

■ ADV_TALK　［探偵編］　5424行〜
   出る条件 : 部屋での応答（deny=否認／alibi=本人／allyAlibi=味方の証言 ほか）
------------------------------------------------------------------------------
   5425 ｜ 執事　　　 ｜ 雑談(idle) / 執事(butler) ｜ 「物騒な船でございますね。……お茶でもお淹れいたしましょうか」
   5584 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 「わるいことをしたら、つかまるにゃ。……でも、さみしいだけじゃ、だれもつかまえてくれないにゃ。——どうして、こわれてからじゃないと、みつけてもらえないのかにゃ」
   5585 ｜ 先生　　　 ｜ 先生(sensei) ｜ 「人を採点し続けて、分かったことがあります。……減点法で人を見ていると、いつか人が、点数にしか見えなくなる。——あなたは、加点法でご覧なさい。これが、わたしの最後の授業です」

■ ADV_GENBA　［探偵編・終幕］　5587行〜
   出る条件 : 犯人が現場の様子を語る
------------------------------------------------------------------------------
   5588 ｜ 現場猫　　　 ｜ 執事(butler) ｜ 現場猫「そうか。……この部屋、確認するぞ。異常、なし。ヨシ」

執事は、拍子抜けした。
「……それ、だけ……？」
   5589 ｜ 現場猫　　　 ｜ 軍師(strategist) ｜ 現場猫「よくわからんが……指差し確認は、しとくぞ。ヨシ」

軍師は、毒気を抜かれた。
「……わからん、まま……か」
   5590 ｜ 現場猫　　　 ｜ ずんだもん(blunt) ｜ 現場猫「聞いた。……報告、受け取ったぞ。ヨシ」

ずんだは、きょとんとした。
「……うけとった……？ それで、いいのだ……？」
   5591 ｜ 現場猫　　　 ｜ お嬢様(lady) ｜ 現場猫「知らん。……けど、今の話、覚えとく」

お嬢様は、虚を突かれた。
「……覚えて、どうなさるの……？」
   5592 ｜ 現場猫　　　 ｜ マダム(french) ｜ 現場猫「へえ。……とりあえず、この辺も確認しとくな。ヨシ」

マダムは、拍子抜けした。
「……わたくしの話は……？」
   5593 ｜ 現場猫　　　 ｜ 一姫(ichihime) ｜ 現場猫「いるのは、わかってるぞ。……さっきから、確認済みだ。ヨシ」

一姫は、ぱちくりした。
「……かくにん、ずみ……？」
   5594 ｜ 現場猫　　　 ｜ 先生(sensei) ｜ 現場猫「わかった。……ちゃんと、覚えとくよ」

先生は、初めて言葉に詰まった。
「……わたしの、授業を……？」

■ ADV_NEXT　［探偵編・終幕］　5597行〜
   出る条件 : 犯人が頭を下げたあとの一言
------------------------------------------------------------------------------
   5598 ｜ 執事　　　 ｜ 執事(butler) ｜ 執事「……船長。あなた様の値打ち、今夜、拝見いたします」
   5599 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 軍師「……船長。おぬしの番は今夜よ。……もう、動かせぬ」
   5600 ｜ ずんだ　　　 ｜ ずんだもん(blunt) ｜ ずんだ「……船長さん。おおきいのは、さいごに たべるのだ。……もう、さいごなのだ」
   5601 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ お嬢様「……船長。今夜は、あなたを選びますわ。……もう、決めましたの」
   5602 ｜ マダム　　　 ｜ マダム(french) ｜ マダム「……船長。最後の一本は今夜よ。……もう、栓は抜いてあるの」
   5603 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 一姫「……せんちょう。つぎ、せんちょうのばんにゃ。……もう、はじまってるにゃ」
   5604 ｜ 先生　　　 ｜ 先生(sensei) ｜ 先生「……船長。あなたの答案、いま採点しています」

■ ADV_PAIR　［探偵編・終幕］　5669行〜
   出る条件 : 生存者2名の組に掛け合いがあるときだけ
------------------------------------------------------------------------------
   5670 ｜ 執事　　　 ｜ butler|strategist ｜ 執事「軍師様……以前、碁会所で給仕を」

軍師「ふむ、茶の熱さが絶妙だった小僧か」

現場猫「……面識、確認。ヨシ」
   5671 ｜ 執事　　　 ｜ butler|blunt ｜ 執事「ずんだ様のお餅、お屋敷に届いた覚えが」

ずんだ「ご贈答用なのだ。いい豆なのだ」

現場猫「……お中元、確認。ヨシ」
   5672 ｜ 執事　　　 ｜ butler|lady ｜ 執事「お嬢様……昨年の舞踏会で給仕を」

お嬢様「あら、道理でお辞儀が見事ですこと。ふふ」

現場猫「……お辞儀、確認。ヨシ」
   5673 ｜ 執事　　　 ｜ butler|french ｜ 執事「マダムのワイン、お屋敷の蔵で拝見を」

マダム「ウィ、良い年のを卸したわ。セ・ラ・ヴィ」

現場猫「……取引、確認。ヨシ」
   5674 ｜ 執事　　　 ｜ butler|ichihime ｜ 執事「一姫様……港で鰹節を差し上げた覚えが」

一姫「あっ、かつおぶしのひと！ おいしかったにゃ」

現場猫「……餌付け、確認。ヨシ」
   5675 ｜ 執事　　　 ｜ butler|sensei ｜ 執事「先生……夜学で礼法の講義を拝聴しました」

先生「最前列で頷いていた方ですね。満点です」

現場猫「……受講、確認。ヨシ」
   5676 ｜ 軍師　　　 ｜ strategist|blunt ｜ 軍師「おぬし、縁日で餅を売っておったな」

ずんだ「三つ買って値切ったのだ。忘れてないのだ」

現場猫「……値切り、確認。ヨシ」
   5677 ｜ 軍師　　　 ｜ strategist|lady ｜ 軍師「お嬢様の庭園、ワシが縁起を観たぞ」

お嬢様「あら、池の位置に文句をつけた方ね。ふふ」

現場猫「……風水、確認。ヨシ」
   5678 ｜ 軍師　　　 ｜ strategist|french ｜ 軍師「マダム……酒場で軍略を語り合ったな」

マダム「ノン、あなたが一方的に。……ウィ、覚えてるわ」

現場猫「……長話、確認。ヨシ」
   5679 ｜ 軍師　　　 ｜ strategist|ichihime ｜ 軍師「その猫、ワシの碁石を転がした奴では」

一姫「ま、まるいのがわるいにゃ」

現場猫「……いたずら、確認。ヨシ」
   5680 ｜ 軍師　　　 ｜ strategist|sensei ｜ 軍師「先生、詰碁の本を貸したままだったな」

先生「……返却期限は、切れていません」

現場猫「……貸し借り、確認。ヨシ」
   5681 ｜ ずんだ　　　 ｜ blunt|lady ｜ ずんだ「お屋敷のお茶会に、餅を納めたのだ」

お嬢様「あら、あの緑のお餅……あなたでしたの」

現場猫「……納品、確認。ヨシ」
   5682 ｜ ずんだ　　　 ｜ blunt|french ｜ ずんだ「ワインと餅は合うって言ったひとなのだ」

マダム「ウィ、意外とイケたわ。セ・ラ・ヴィ」

現場猫「……マリアージュ、確認。ヨシ」
   5683 ｜ ずんだ　　　 ｜ blunt|ichihime ｜ ずんだ「餅を一個くわえて逃げた猫なのだ」

一姫「じ、じこうにゃ。おいしかったにゃ」

現場猫「……時効、確認。ヨシ」
   5684 ｜ ずんだ　　　 ｜ blunt|sensei ｜ ずんだ「テストの余白に餅の絵を描いたのだ」

先生「加点しました。良い餅でした」

現場猫「……加点、確認。ヨシ」
   5685 ｜ お嬢様　　　 ｜ lady|french ｜ お嬢様「マダム……お母様のサロンでお見かけを」

マダム「ウィ、退屈で先に帰った日ね。ふふ」

現場猫「……早退、確認。ヨシ」
   5686 ｜ お嬢様　　　 ｜ lady|ichihime ｜ お嬢様「あら、お庭に来ていた仔じゃなくて？」

一姫「おさかなをくれるお屋敷は、わすれないにゃ」

現場猫「……常連、確認。ヨシ」
   5687 ｜ お嬢様　　　 ｜ lady|sensei ｜ お嬢様「先生……家庭教師の面接にいらしたわ」

先生「不採用の理由、いまだに伺っていません」

現場猫「……不採用、確認。ヨシ」
   5688 ｜ マダム　　　 ｜ french|ichihime ｜ マダム「あら、酒場の看板猫じゃないの」

一姫「つまみのおさかな、もらってたにゃ」

現場猫「……看板猫、確認。ヨシ」
   5689 ｜ マダム　　　 ｜ french|sensei ｜ マダム「あら……先生？ ワイン教室の」

先生「三回とも寝ていた方ですね」

現場猫「……知り合い、確認。ヨシ」
   5690 ｜ 一姫　　　 ｜ ichihime|sensei ｜ 一姫「せんせいのきょうしつ、ひなたがいいにゃ」

先生「答案の上で寝ていたのは、あなたですか」

現場猫「……昼寝、確認。ヨシ」

■ ADV_DEFEND　［探偵編・終幕］　5616行〜
   出る条件 : 生存者のうち最大3名が犯人をかばう
------------------------------------------------------------------------------
   5617 ｜ 執事　　　 ｜ 執事(butler) ｜ 執事「恐れながら、申し上げます。……あの方は、壁牌に寄りかかって眠っておいででした。崩れて当然の場所に、ご自分から」
   5618 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 軍師「あの位置に居座ったは、本人の判断よ。陣を敷き違えた者が倒れる。……それだけのことなり」
   5619 ｜ ずんだ　　　 ｜ ずんだもん(blunt) ｜ ずんだ「あそこ、危ないって言われてたのだ。……言われてたのに行くほうが、悪いのだ」
   5620 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ お嬢様「危険な場所にいらしたのは、あの方のご意思でしょう。……守りの牌は、ご自分でお持ちになるものですわ」
   5621 ｜ マダム　　　 ｜ マダム(french) ｜ マダム「あの子、いつも人の樽の陰にいたわね。……見えない場所にいるほうが悪いのよ、ウィ」
   5622 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 一姫「あそこ、ねちゃだめって、いわれてたにゃ。……ルールいはんにゃ。だから、しかたないにゃ」
   5623 ｜ 先生　　　 ｜ 先生(sensei) ｜ 先生「減点法で見ましょう。……危険区域への立ち入り。まず、そこが減点です」

■ ADV_GRUDGE　［探偵編・終幕］　5607行〜
   出る条件 : 生存者のうち最大3名が遺恨を述べる
------------------------------------------------------------------------------
   5608 ｜ 執事　　　 ｜ 執事(butler) ｜ 執事「……磨いたばかりの床を、泥のまま歩かれました。三度でございます」
   5609 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 軍師「……ワシの牌譜の上で、寝た」
   5610 ｜ ずんだ　　　 ｜ ずんだもん(blunt) ｜ ずんだ「……ぼくの餅、ひとつ足りなかったのだ」
   5611 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ お嬢様「……わたくしの扇を、うちわ代わりに」
   5612 ｜ マダム　　　 ｜ マダム(french) ｜ マダム「……わたくしのワインを、水で割ったのよ」
   5613 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 一姫「……おさかな、とられたにゃ」
   5614 ｜ 先生　　　 ｜ 先生(sensei) ｜ 先生「……答案の上で、寝ていました」

■ ADV_BLAME　［探偵編・終幕］　5648行〜
   出る条件 : 最大4名が非難を述べる
------------------------------------------------------------------------------
   5649 ｜ 執事　　　 ｜ 執事(butler) ｜ 執事「そもそも、でございます。わたくしの私室を、勝手に開けてお調べになった方がいらっしゃいます。……ええ。あなた様の、ことでございますよ」
   5650 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 軍師「ワシは同じ問いを、二度もされたのだぞ。一度答えたと申したはずだ。……人の言葉を疑うは、武人への侮辱なり」
   5651 ｜ ずんだ　　　 ｜ ずんだもん(blunt) ｜ ずんだ「ぼくの部屋、勝手にあさったのだ！ ゴミ箱まで見たのだ、ぼく、見てたのだ！」
   5652 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ お嬢様「殿方に何度も何度も根掘り葉掘り聞かれて……わたくし、あの晩から眠れませんのよ。責任、お取りになって」
   5653 ｜ マダム　　　 ｜ マダム(french) ｜ マダム「人の背格好を、じろじろ見てはノートに控えていたわね。ノン、いい趣味とは言えないわ」
   5654 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 一姫「あたしの部屋から、かってに物を持っていったにゃ。……それ、証拠っていうにゃ？ どろぼうっていうにゃ」
   5655 ｜ 先生　　　 ｜ 先生(sensei) ｜ 先生「初対面のわたしを、いきなり疑ってかかりましたね。……その態度に、減点をつけます。大幅の、減点です」

■ ADV_BLAME_OK　［探偵編・終幕］　0行〜
   出る条件 : 非難への受け答え
------------------------------------------------------------------------------

■ ADV_MOTIVE_CLUE　［探偵編］　5693行〜
   出る条件 : 動機に繋がる手がかり
------------------------------------------------------------------------------
   5694 ｜ 執事　　　 ｜ 執事(butler) ｜ ……壁際に、何かへ耳を澄ませるような跡がある。掃除にしては、妙に磨き込まれている。
   5695 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ ……文机に、几帳面な文字で並び順の書かれた紙。遊戯の手筋だろうか。
   5696 ｜ ずんだもん　　　 ｜ ずんだもん(blunt) ｜ ……卓の上に、何かを叩いたような小さな凹み。お菓子の食べこぼしだろうか。
   5697 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ ……扇の陰に、誰かの声を書き留めたような走り書きの紙切れ。怪談趣味だろうか。
   5698 ｜ マダム　　　 ｜ マダム(french) ｜ ……空のワインボトルのラベル裏に、聞き覚えのない言葉が並んでいる。ソムリエの覚書だろうか。
   5699 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ ……枕元に、小銭が几帳面に積まれている。途中から、数えるのをやめたような跡。
   5700 ｜ 先生　　　 ｜ 先生(sensei) ｜ ……答案の余白に、日付ごとの短い印。授業の採点にしては、妙に几帳面だ。

■ ADV_TRAIT　［探偵編］　5172行〜
   出る条件 : 背格好と装いの言い回し
------------------------------------------------------------------------------
   5173 ｜ 執事　　　 ｜ 執事(butler) / h ｜ 高い
   5173 ｜ 執事　　　 ｜ 執事(butler) / w ｜ 白手袋
   5174 ｜ 先生　　　 ｜ 先生(sensei) / h ｜ 高い
   5174 ｜ 先生　　　 ｜ 先生(sensei) / w ｜ 眼鏡
   5175 ｜ 軍師　　　 ｜ 軍師(strategist) / h ｜ 中背
   5175 ｜ 軍師　　　 ｜ 軍師(strategist) / w ｜ 帽子
   5176 ｜ マダム　　　 ｜ マダム(french) / h ｜ 中背
   5176 ｜ マダム　　　 ｜ マダム(french) / w ｜ 白手袋
   5177 ｜ ずんだもん　　　 ｜ ずんだもん(blunt) / h ｜ 中背
   5177 ｜ ずんだもん　　　 ｜ ずんだもん(blunt) / w ｜ 眼鏡
   5178 ｜ お嬢様　　　 ｜ お嬢様(lady) / h ｜ 小柄
   5178 ｜ お嬢様　　　 ｜ お嬢様(lady) / w ｜ 眼鏡
   5179 ｜ 一姫　　　 ｜ 一姫(ichihime) / h ｜ 小柄
   5179 ｜ 一姫　　　 ｜ 一姫(ichihime) / w ｜ 帽子



■ 表に入っていない台詞（実行時に組み立てるもの）
------------------------------------------------------------------------------

  [toneAngleLine]　4284行〜 : 人柄ごとの見立て（助言欄）
   4290 ｜ に、
   4290 ｜ を掛け持ちさせております。人手が足りませぬ。
   4291 ｜ 持ち場の重なりはございません。皆、専任でございます。
   4298 ｜ 仕掛けの種は無いが、門前でも十分に速い。このまま進むべし。
   4299 ｜ 仕掛けの種が無く、門前では遠い。辛抱の一局になるぞ。
   4304 ｜ 仕掛けの種は無いが、
   4304 ｜ が一番厚い。門前でも十分に速い、このまま進むべし。
   4305 ｜ 仕掛けの種が無く、門前では遠い。
   4305 ｜ が伸びれば、仕掛けの道も開くなり。
   4308 ｜ が二枚。鳴けば一気に仕掛かるぞ。門前に縛られるな。
   4309 ｜ に寄せて鳴く道もある。仕掛けは我の領分なり。
   4315 ｜ かぶりは無いのだ。でも細いまとまりが 
   4315 ｜  個あるのだ。
   4316 ｜ かぶりも無いし、細いまとまりも無いのだ。素直な手なのだ。
   4319 ｜ を二つのまとまりで取り合ってるのだ。損なのだ。
   4320 ｜ 、待ちが同じ筋にかぶるのだ。もったいないのだ！
   4323 ｜ 切れる牌が、ほとんどありませんの。窮屈な手ですわ。
   4325 ｜ この手、序盤で盾を使い切る算段ですわ。終盤は丸腰でしてよ。
   4326 ｜ 盾は終盤まで残る並びですわ。良い心がけですの。
   4330 ｜ 整理を急ぐ牌は、ございませんの。よく整った並びですわ。
   4331 ｜ 最初に整理するなら
   4331 ｜ ですわ。
   4332 ｜ どのまとまりにも入らず、身を守る役にも立ちませんの。
   4338 ｜ 端の道が 
   4338 ｜  本もあるにゃ。どこかで獲物とすれ違うにゃ。
   4339 ｜ 待ちが端の道に一本かかりそうにゃ。端の道は、獲物がよく通るにゃ。
   4341 ｜ の対子は、いい罠にゃ。飛び込んでくるにゃ。
   4342 ｜ この手の道は、ど真ん中にゃ。みんな警戒する道にゃ。
   4345 ｜ 雀頭の当てがありません。字牌の重なりを、ひとつ残しなさい。
   4347 ｜ 雀頭の候補は
   4347 ｜ です。軸を決めて、迷いを減らしなさい。
   4348 ｜ 雀頭は
   4348 ｜ 種。筆頭は
   4348 ｜ です。

  [mascotSay]　3991行〜 : 獣を押したときの5分岐
   3996 ｜ 役満
   3996 ｜ 国士無双
   3997 ｜ {名}

  [tenLeans]　3924行〜 : 投票欄のアイコンを押したときの一行
   3961 ｜ 猫牌0枚、指差し確認——攻めヨシ！
   3962 ｜ 猫牌
   3962 ｜ 枚、指差し確認——逃げヨシ！
   3964 ｜ 種。
   3965 ｜ 揃い
   3965 ｜ 薄い——守り
   3967 ｜ 一枚きりの字牌
   3967 ｜ 枚。わたしの見立ては
   3967 ｜ 守り
   3967 ｜ 攻め
   3967 ｜ です

  [mdOpen]　6879行〜 : 誤診記録の口上
   6882 ｜ 猫牌
   6882 ｜ 枚——数えるのは数牌の浮きだけで、
   6883 ｜ 字牌
   6883 ｜ ジハイ
   6883 ｜ は勘定に入れん。0枚なら攻め、4枚以上なら逃げだが、
   6884 ｜ この帯じゃオレは何も言えん
   6887 ｜ 。オレの目は数牌までだ。浮いた
   6887 ｜ 字牌
   6887 ｜ ジハイ
   6887 ｜ は見えてない
   6890 ｜ 猫牌0枚。数牌に浮いた牌が一枚も無い、繋がった手だ
   6890 ｜ 。攻めヨシ！
   6891 ｜ 猫牌
   6891 ｜ 枚。4枚以上は数牌がバラバラってことだ
   6891 ｜ 。逃げヨシ！
   6896 ｜ 枝豆
   6896 ｜ 組なのだ。攻めと言えるのは4組からで、この手は届いてないのだ。
   6897 ｜ 組の数だけでは、どっちとも言えないのだ
   6900 ｜ 枝豆
   6900 ｜ 組なのだ。同じ牌の組が4組もあるのだ。手の軸はできてるのだ。攻めなのだ
   6901 ｜ 枝豆
   6901 ｜ 組なのだ。同じ牌の組が1組以下では、手の軸が立たないのだ。
   6902 ｜ 枝豆が薄い、守りヨシなのだ
   6906 ｜ この手は、わたしには判じられません。1枚だけ余っている
   6907 ｜ 字牌
   6907 ｜ ジハイ
   6907 ｜ は0枚ですが、攻めと申すには1・9・
   6907 ｜ 字牌
   6907 ｜ ジハイ
   6908 ｜ が2枚以下でなければならず、この手は
   6908 ｜ 枚あります。どちらとも申せません。
   6909 ｜ この手は、わたしには判じられません。1枚だけ余っている
   6910 ｜ 字牌
   6910 ｜ ジハイ
   6910 ｜ 枚——0枚でも3枚以上でもない、平均の付近です。
   6913 ｜ この手は攻めです。1枚だけ余っている
   6913 ｜ 字牌
   6913 ｜ ジハイ
   6913 ｜ が0枚、
   6914 ｜ 字牌
   6914 ｜ ジハイ
   6914 ｜ を合わせても
   6915 ｜ 枚だけ。牌が真ん中に集まっています。
   6916 ｜ この手は守りです。1枚だけ余っている
   6916 ｜ 字牌
   6916 ｜ ジハイ
   6917 ｜ 枚。切って逃げられる牌をそれだけ抱えた手は、たいてい守りに回ります。

  [mdContents]　6921行〜 : 誤診記録の読み上げ
   6929 ｜ 数牌のうち
   6929 ｜ 枚が浮いてる
   6930 ｜ 数牌は一枚も浮いてない、繋がった手だ
   6931 ｜ 数牌が端まで散ってる手だ
   6931 ｜ どっちつかずに散らかった手だ
   6932 ｜ 散らばりと上がりの近さは別だ。この手は
   6932 ｜ 向聴
   6932 ｜ シャンテン
   6933 ｜ 中身を見るぞ。
   6934 ｜ 。オレの物差しは黙りだが、散らばり方だけは見ておけ
   6935 ｜ 。数え方が割れたときは、牌の散らばりを見るしかない
   6936 ｜ 。二人とも黙っていても、牌の散らばりは残る
   6937 ｜ 。二人が同じ方を向いても、決めるのは牌の散らばりだ
   6940 ｜ 形になっているまとまりが
   6940 ｜ つ、必要なのは
   6940 ｜ つで
   6941 ｜ 足りてるのだ
   6941 ｜ 足りてないのだ
   6942 ｜ ただし形がそろうことと、上がりが近いことは別なのだ。この手は
   6943 ｜ 向聴
   6943 ｜ シャンテン
   6943 ｜ なのだ
   6944 ｜ 中身を見るのだ。
   6945 ｜ 。ずんだの物差しは黙りだけど、形の数は数えられるのだ
   6946 ｜ 。数え方が割れても、形の数を見れば分かるのだ
   6947 ｜ 。二人とも黙っていても、形の数は数えられるのだ
   6948 ｜ 。二人が揃っていても、形の数までは数えていないのだ
   6954 ｜ 手が進む牌が
   6954 ｜ 枚残っています
   6955 ｜ この
   6955 ｜ 向聴
   6955 ｜ シャンテン
   6955 ｜ 数なら「
   6955 ｜ 」の部類です
   6956 ｜ 広い狭いの札は記録に残っていません
   6958 ｜ 打点
   6958 ｜ ダテン
   6958 ｜ は記録に残っていません
   6959 ｜ 打点
   6959 ｜ ダテン
   6959 ｜ は数えられませんでした
   6960 ｜ 打点
   6960 ｜ ダテン
   6960 ｜ 、ドラ・赤・
   6960 ｜ 役牌
   6960 ｜ ヤクハイ
   6961 ｜ を合わせて充分です
   6962 ｜ 打点
   6962 ｜ ダテン
   6962 ｜ は0、ドラも赤も
   6962 ｜ 役牌
   6962 ｜ ヤクハイ
   6962 ｜ もありません
   6963 ｜ 打点
   6963 ｜ ダテン
   6963 ｜ は1、ぎりぎり値が付く手です
   6964 ｜ 数えます。
   6965 ｜ 。わたしの物差しは黙っていますが、枚数は数えられます。
   6966 ｜ 。数え方が割れたときは、枚数が答えを決めます。
   6967 ｜ 。二人とも黙っていても、枚数は数えられます。
   6968 ｜ 。二人が同じ方を向いても、枚数までは数えていません。

